지점,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사(MJ/m2)
105,1911-10-04,12.2,26.2,,,,
105,1911-10-09,6,16.6,,,,
105,1911-10-16,9.2,15.5,36.5,,,
105,1911-11-01,6,14.8,,,,
105,1911-11-04,10.2,19.5,,,,
105,1911-11-15,8.4,10.7,32.7,,,
105,1911-11-26,-1.3,6.8,,,,
105,1911-12-02,3.4,15.1,,,,
105,1911-12-15,-5.6,3.3,,,,
105,1911-12-19,.7,7.8,25.2,,,
105,1911-12-26,-2.1,4.2,,,,
105,1912-01-01,.5,8.5,,7.9,48.7,
105,1912-01-02,-7.5,-.4,,9.1,43.3,
105,1912-01-03,-7.7,5.7,,8.1,41,
105,1912-01-04,.5,8.2,,10.8,51,
105,1912-01-05,.5,9.3,,6.9,48.7,
105,1912-01-06,-.7,7.3,6.7,6.9,69.7,
105,1912-01-07,-4,3.8,20.8,.5,94.7,
105,1912-01-08,-4.1,5.7,,4.9,55.7,
105,1912-01-09,-1.8,4.6,,6.9,52.3,
105,1912-01-10,-6.6,3.2,,4.7,51.3,
105,1912-01-11,-6.5,-1.1,,10.9,43.3,
105,1912-01-12,-7.8,-1,,9.4,49,
105,1912-01-13,-7.6,3,,6.8,45.3,
105,1912-01-14,-5.6,.5,,10.9,45.3,
105,1912-01-15,-6.8,-2,,13.5,42.7,
105,1912-01-16,-9.2,-.8,,10.6,44.7,
105,1912-01-17,-6,1.3,,12.7,45,
105,1912-01-18,-2,4.3,0,10.3,49.7,
105,1912-01-19,-3.2,3.4,,10,49.7,
105,1912-01-20,-4,6,,5.7,49.7,
105,1912-01-21,-5.3,5.2,,5.9,44.7,
105,1912-01-22,-2.8,3.7,,10.7,48.3,
105,1912-01-23,-4.4,4.9,,5.3,59.3,
105,1912-01-24,-4.1,.2,2.8,3.4,74.7,
105,1912-01-25,-1.8,2,1.1,3.5,82.3,
105,1912-01-26,-1.1,2.8,.2,3.3,81.3,
105,1912-01-27,-2.1,2.7,19.6,2,90,
105,1912-01-28,-3.9,1.2,1.1,4,79.7,
105,1912-01-29,-5.6,1.5,,5.9,55.3,
105,1912-01-30,-6.4,3.2,,7.4,50,
105,1912-01-31,-4.4,3.4,,8.9,39.3,
105,1912-02-01,-4.2,4.6,,6.2,57.7,
105,1912-02-02,-3.3,2.5,17.2,1.7,82.3,
105,1912-02-03,-3.6,2.9,40.8,5.9,75,
