지점,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사(MJ/m2)
105,1950-01-01,-.3,4.5,8.4,1.1,93.7,
105,1950-01-02,-1,8.4,,3.3,73.3,
105,1950-01-03,-4.1,3.7,,6.8,44.3,
105,1950-01-04,-6.9,-.1,,6.3,31.3,
105,1950-01-05,-7.9,3.5,0,7.1,37.7,
105,1950-01-06,-12.4,-6.2,,9.1,36.7,
105,1950-01-07,-9.7,.4,,8.7,45,
105,1950-01-08,-2.2,6.3,,5.6,57,
105,1950-01-09,-3.3,4.3,,4.3,53.7,
105,1950-01-10,-5,3.3,,5,48,
105,1950-01-11,-5.3,5.9,,5.2,42.3,
105,1950-01-12,1.3,4.7,,2.9,70,
105,1950-01-13,0,4.1,3,1.2,94,
105,1950-01-14,-1.3,3.5,20.3,5.4,89,
105,1950-01-15,-1.1,11.8,,6.4,38,
105,1950-01-16,1.2,11.1,,5.4,58.3,
105,1950-01-17,.6,4.6,10.4,1.5,89.7,
105,1950-01-18,1.4,5.1,1.2,2,87.3,
105,1950-01-19,-1,4.9,1.1,3.2,78.7,
105,1950-01-20,-3.3,4.5,,3.1,64,
105,1950-01-21,-3.6,6.5,,4.1,59,
105,1950-01-22,-1.8,3.3,0,6.4,52.7,
105,1950-01-23,-5.8,-.3,,7.5,51.7,
105,1950-01-24,-6.4,3.7,,7.8,36.3,
105,1950-01-25,-2.8,5.3,,9.1,46.7,
105,1950-01-26,0,7.5,,4.5,38.3,
105,1950-01-27,3.1,12.1,,5.8,53.3,
105,1950-01-28,.2,7,23.8,2.5,94.3,
105,1950-01-29,.3,4.9,.3,1.6,86,
105,1950-01-30,-.1,2.7,53.9,2.5,95.3,
105,1950-01-31,-4.8,4.2,.6,7.7,65,
105,1950-02-01,-7.6,1.8,,3,58,
105,1950-02-02,-6.1,3.7,,1.8,76.7,
105,1950-02-03,-6.2,1.5,0,6,64,
105,1950-02-04,-7.8,-1,,6,56.7,
105,1950-02-05,-8.2,3.1,,5,39.3,
105,1950-02-06,-4.1,7.1,0,5,55.7,
105,1950-02-07,1.4,8.4,,2.7,64.7,
105,1950-02-08,.9,3.6,18.6,1.3,82.7,
105,1950-02-09,.3,3,20.2,2.1,92.7,
105,1950-02-10,-.2,2.4,4.5,1.6,79.3,
105,1950-02-11,-2.3,.4,6.3,2.1,90,
105,1950-02-12,-2.8,-.1,.3,2.8,70.3,
105,1950-02-13,-4.2,.1,5.6,1.6,87,
105,1950-02-14,-4.1,-1.2,12.5,1.4,97,
105,1950-02-15,-6.1,.9,9.1,.7,93,
105,1950-02-16,-6.9,3.2,,2.4,67,
105,1950-02-17,-7.4,3.1,,3.3,53.7,
105,1950-02-18,-4.9,5.4,,2.4,51.3,
105,1950-02-19,-5.6,2.7,0,3,63.3,
105,1950-02-20,-7,2.6,,3,63.3,
105,1950-02-21,-5.9,4.3,,2.4,68.3,
105,1950-02-22,-3.9,6.8,,1.4,78.3,
105,1950-02-23,-3.4,5.9,,2.2,73,
105,1950-02-24,.9,11.2,,3.3,44.7,
