지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
184,1923.05.01, ,제주,제주지방기상청(184),33.5141,126.5297,20.45,21.650,1.700,15.000,1.500
185,1988.01.01, ,고산,제주지방기상청(184),33.2938,126.1628,71.47,72.570,1.700,10.000,1.500
187,2007.03.27,20080904,성산,,33.3868,126.8804,18,20.480,1.800,10.200,0.600
188,2008.09.04, ,성산,제주지방기상청(184),33.3868,126.8802,20.34,21.740,1.700,10.000,1.500
188,1971.07.15,20080904,성산,성산지역기상서비스센터(188),33.3868,126.8804,18.4,20.100,1.500,10.000,0.600
189,2010.11.09, ,서귀포,제주지방기상청(184),33.2461,126.5653,49.03,50.330,1.700,10.000,1.500
189,1961.01.01,20101109,서귀포,서귀포지역기상서비스센터(189),33.2461,126.5653,50.4,51.600,1.800,10.000,0.600
192,2005.11.23, ,진주,창원기상대(155),35.1638,128.040,30.21,31.600,1.800,10.000,1.300
192,1969.03.01,20051123,진주,,35.2084,128.1191,21.32,22.640,1.500,10.000,0.600
201,1972.01.11, ,강화,인천기상대(112),37.7074,126.4463,47.84,49.240,1.600,10.000,0.600
202,1972.01.11, ,양평,수도권기상청(119),37.4886,127.4945,47.26,48.760,1.900,10.000,0.600
203,1972.01.11, ,이천,수도권기상청(119),37.264,127.4842,80.09,81.590,1.800,10.000,0.600
211,1971.12.01, ,인제,인제자동기상관측소(211),38.0599,128.1671,200.16,201.700,1.500,10.000,0.500
212,1971.09.27, ,홍천,춘천기상대(101),37.6836,127.8804,139.95,141.900,1.600,13.000,0.500
214,1971.02.28,19960101,삼척,,37.3667,129.2167,3.9,5.400,1.500,10.000,0.600
216,1985.08.01, ,태백,태백자동기상관측소(216),37.1703,128.9893,712.82,714.300,1.600,16.000,0.600
217,2010.08.06, ,정선군,,37.3813,128.6461,307.4,308.500,1.800,10.000,0.600
221,1972.01.11, ,제천,청주기상대(131),37.1593,128.1943,259.8,260.600,1.500,10.000,0.500
226,1972.01.09, ,보은,청주기상대(131),36.4876,127.7341,174.99,176.400,1.500,10.000,0.500
232,2016.04.01, ,천안,대전지방기상청(133),36.7624,127.2927,81.5,83.000,1.800,10.000,1.200
232,1972.01.08,20160401,천안,천안지역기상서비스센터(232),36.7796,127.1213,21.3,22.600,1.800,9.500,0.600
235,1972.01.24, ,보령,대전지방기상청(133),36.3272,126.5574,15.49,17.000,1.600,10.000,1.100
236,1972.01.09, ,부여,대전지방기상청(133),36.2724,126.9208,11.33,12.800,1.700,10.000,0.500
238,1972.01.09, ,금산,대전지방기상청(133),36.1056,127.4818,170.35,171.900,1.500,10.000,0.500
243,1972.03.01, ,부안,전주기상대(146),35.7295,126.7166,11.96,13.500,1.800,10.000,0.600
244,1970.06.02, ,임실,전주기상대(146),35.612,127.2856,247.04,248.440,1.800,10.000,0.600
245,2016.11.01, ,정읍,전주기상대(146),35.5631,126.8392,69.84,70.970,1.900,10.000,1.000
245,1970.01.05,20161101,정읍,전주기상대(146),35.5632,126.8661,44.6,46.100,1.700,10.000,0.600
247,2017.08.25, ,남원,전주기상대(146),35.4213,127.3965,132.5,91.800,1.700,10.000,0.700
247,2013.08.01,20170825,남원,전주기상대(146),35.4023,127.3967,127.48,91.800,1.700,10.000,0.700
247,1972.01.04,20130801,남원,남원기상대(247),35.4054,127.333,90.29,94.700,1.800,10.000,0.600
248,1988.01.01, ,장수,전주기상대(146),35.657,127.5203,406.49,408.000,1.600,10.000,0.500
251,2010.12.01, ,고창군,전주기상대(146),35.4266,126.697,54,55.500,1.700,10.000,0.600
251,2008.11.28,20101130,고창,고창기상대(미사용 251),35.4266,126.697,54,55.300,1.800,10.000,0.700
251,2007.11.01,20081128,고창,고창기상대(미사용 251),35.4251,126.699,54.02,55.320,1.500,10.000,0.500
252,2007.11.26, ,영광군,광주지방기상청(156),35.2837,126.4778,37.2,38.700,1.500,13.000,0.600
253,2008.02.13, ,김해시,부산지방기상청(159),35.2267,128.893,53.34,54.600,1.700,10.000,0.500
254,2008.07.16, ,순창군,전주기상대(146),35.3714,127.1286,127,128.400,1.600,10.000,0.600
255,2010.07.22, ,북창원,창원기상대(155),35.2264,128.6725,48.8,50.300,1.800,10.000,0.700
255,2008.12.26,20100721,창원시,,35.2264,128.6725,46.77,48.120,1.800,10.000,0.600
256,2011.04.01,20120702,주암,순천기상대(174),35.075,127.2391,74.63,75.400,1.500,14.000,0.600
256,1972.01.21,20110401,순천,순천기상대(미사용 256),35.075,127.2391,74.4,75.400,1.500,14.000,0.600
257,2008.12.26, ,양산시,울산기상대(152),35.3072,129.020,14.85,16.100,1.800,10.000,0.600
258,2010.03.11, ,보성군,여수기상대(168),34.7633,127.2123,2.8,4.300,1.500,10.000,0.600
258,2010.02.08,20100310,보성군,여수기상대(168),34.7633,127.2123,2.8,,,,
259,2009.11.10, ,강진군,목포기상대(165),34.6261,126.7689,12.5,13.900,1.500,10.000,0.600
260,1972.01.21, ,장흥,목포기상대(165),34.6888,126.9195,45.02,46.300,1.500,10.000,0.800
261,1971.02.03, ,해남,목포기상대(165),34.5538,126.5691,16.36,17.910,1.500,10.000,0.800
262,2017.08.25, ,고흥,여수기상대(168),34.6183,127.2757,51.91,53.310,1.500,10.000,0.800
262,1972.01.22,20170825,고흥,여수기상대(168),34.6182,127.2757,53.12,54.600,1.500,10.000,0.600
263,2010.06.21, ,의령군,창원기상대(155),35.3226,128.2881,14.18,14.900,2.000,10.000,0.600
264,2010.06.21, ,함양군,창원기상대(155),35.5114,127.7454,151.2,152.500,1.800,10.000,0.600
265,1971.07.15,20070327,성산포,,33.3868,126.8804,18.62,20.480,1.800,10.200,0.600
266,2017.08.25, ,광양시,광주지방기상청(156),34.9434,127.6914,86.7,87.900,1.700,10.000,0.600
266,2011.01.01,20170825,광양시,광주지방기상청(156),34.943,127.691,80.9,82.400,1.700,10.000,0.600
268,2014.05.09, ,진도군,목포기상대(165),34.4731,126.2585,5.4,6.900,1.700,10.000,0.600
271,1988.01.01, ,봉화,대구(구 143),36.9436,128.914,324.3,325.800,1.900,10.000,0.600
272,1972.11.28, ,영주,안동기상대(136),36.8719,128.517,210.79,212.250,1.910,10.000,0.580
273,1973.01.01, ,문경,대구(구 143),36.6273,128.148,170.61,172.200,1.800,10.000,0.600
276,2010.09.01, ,청송군,안동기상대(136),36.4321,129.0423,206.23,207.780,1.750,10.000,0.500
