지점,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사(MJ/m2)
90,1968-01-01,-4.8,2.5,,3.3,35.3,
90,1968-01-02,-1.9,6.1,0,3.5,57.3,
90,1968-01-03,-3.3,3.6,,4.1,37.8,
90,1968-01-04,-1.5,7.2,,2.3,47,
90,1968-01-05,1.5,11.4,,1.7,67,
90,1968-01-06,1.3,7.8,,.5,87,
90,1968-01-07,-3.4,4.5,,1.1,41.5,
90,1968-01-08,-5.7,.6,,1.2,37,
90,1968-01-09,-4.6,5,,.6,37.3,
90,1968-01-10,1.5,7.3,,3,35.3,
90,1968-01-11,-2.5,6.9,,1.2,49.8,
90,1968-01-12,-1.6,8.4,,1.2,48.5,
90,1968-01-13,-4.3,5.4,0,5.3,52.5,
90,1968-01-14,-10.6,-2.8,,3.2,34.8,
90,1968-01-15,-11.4,-4.3,,3.7,34.5,
90,1968-01-16,-7.4,5.2,,2.7,43.5,
90,1968-01-17,.6,8.2,,2.6,42.3,
90,1968-01-18,-6.2,.7,,3.1,25,
90,1968-01-19,-5.8,-.8,,1,39.3,
90,1968-01-20,-7,1.9,,1.5,49.5,
90,1968-01-21,-4.6,.8,,2.7,43.5,
90,1968-01-22,-5.5,2.1,,2,48.3,
90,1968-01-23,-4,2.3,,1.3,53.8,
90,1968-01-24,-3.5,0,0,1.3,60,
90,1968-01-25,-7.7,1.6,,1.6,47,
90,1968-01-26,-5.6,1.4,,1.8,40.5,
90,1968-01-27,-6.2,0,,1.1,46.5,
90,1968-01-28,-4.2,2.9,,.9,57.8,
90,1968-01-29,-3.1,4.7,,1.3,59.8,
90,1968-01-30,-5.2,2,,1.7,49.8,
90,1968-01-31,-9.5,-4.3,,3,27.8,
90,1968-02-01,-9.9,-3.2,,4.2,29.8,
90,1968-02-02,-9.8,-.6,,4.1,26.3,
90,1968-02-03,-6.5,.4,,3,28.8,
90,1968-02-04,-5.5,.6,,2,47.5,
90,1968-02-05,-7,1.1,,2.4,42.5,
90,1968-02-06,-6.7,-.3,,1.8,45,
90,1968-02-07,-7.1,1.2,,1.4,51.5,
90,1968-02-08,-5.5,1.9,,2.5,37.8,
90,1968-02-09,-6.2,.5,,2.1,43.5,
90,1968-02-10,-5.1,2.5,0,2,45.5,
90,1968-02-11,-6.1,.2,,2.6,42.5,
90,1968-02-12,-7.6,2.9,,1.2,49.3,
90,1968-02-13,-2.3,5.7,,1.8,52.3,
90,1968-02-14,-4.8,1.7,.4,1.6,55,
90,1968-02-15,-2.5,.3,.4,3.3,69.3,
90,1968-02-16,-2.4,2,0,1.1,75.5,
90,1968-02-17,-3.1,4,,.9,78,
90,1968-02-18,-1.7,9.7,,2.1,55.3,
90,1968-02-19,-7.5,-1.7,,3.7,35,
90,1968-02-20,-9.5,-3.3,,2.7,28.5,
90,1968-02-21,-8.6,-1.9,,2.5,39.5,
90,1968-02-22,-8.3,-.7,,2.8,46,
90,1968-02-23,-5.8,-1,.5,1.6,73.3,
90,1968-02-24,-6.8,1.8,,1.5,47,
90,1968-02-25,-3.5,3.5,,1.6,58.3,
90,1968-02-26,-3.1,6,,1.1,62.8,
90,1968-02-27,-1.8,7.8,,1.4,59,
90,1968-02-28,-.7,4.9,,1.3,82.8,
90,1968-02-29,-.4,7.9,2,2.2,57.5,
90,1968-03-01,-3.2,6,,3.3,30.3,
90,1968-03-02,-2.3,4.2,,1.9,47.5,
90,1968-03-03,-3.2,4.6,,1.3,63,
90,1968-03-04,-.6,12.1,,2.2,45.8,
90,1968-03-05,2.3,11.9,,3.6,43.5,
90,1968-03-06,1.1,9.7,,2.3,44.5,
90,1968-03-07,4.2,8.6,.2,1.6,53.8,
90,1968-03-08,-.2,6.2,.6,2,60.5,
90,1968-03-09,-2,6.2,,2.2,36.8,
90,1968-03-10,-.1,7.3,,1.9,38,
90,1968-03-11,3.3,10.7,,1.4,49.3,
90,1968-03-12,4.6,11.5,,2.4,46.5,
90,1968-03-13,4.9,11.8,,2.5,44.8,
90,1968-03-14,.7,8,,1.8,58,
90,1968-03-15,3.1,15.5,0,3.7,45.3,
90,1968-03-16,2.3,7.4,,2.6,49.8,
90,1968-03-17,.2,5.9,,2.1,51,
90,1968-03-18,3.1,12.2,,1.8,45,
90,1968-03-19,6.6,15.1,,1.4,55.8,
90,1968-03-20,5.6,13,0,2,80.3,
90,1968-03-21,3.8,8.9,0,1.8,82.8,
90,1968-03-22,3.4,9,,2.1,65.5,
90,1968-03-23,1.8,8.2,,2,73,
90,1968-03-24,1.1,5.8,3.3,3.2,77.5,
90,1968-03-25,.2,7.4,,1.6,72,
90,1968-03-26,1.3,10,,1.3,79,
90,1968-03-27,2,5.1,,.9,88.8,
90,1968-03-28,1.1,13,,1.5,66.8,
90,1968-03-29,5.8,12.1,2.7,1.5,73.3,
90,1968-03-30,5.1,16.1,2,2,62,
90,1968-03-31,8.5,20.5,,2.5,43.8,
90,1968-04-01,7.5,16.6,,2.2,41,
90,1968-04-02,4.8,14.8,,1.5,66.3,
90,1968-04-03,9.5,21.4,,2.5,32,
90,1968-04-04,4.5,18,,2.9,51.5,
90,1968-04-05,4.5,15.2,1.4,4.2,41.3,
90,1968-04-06,5.9,14.2,,1.6,42.8,
90,1968-04-07,5.6,10.6,,1.7,70,
90,1968-04-08,5.5,7.5,3.4,1.4,89.5,
90,1968-04-09,5.3,8.4,2.1,1.7,76.8,
90,1968-04-10,4.9,13.2,,1.6,74,
90,1968-04-11,6.2,11.5,,2.9,53,
90,1968-04-12,5.2,10.6,,2.3,64.8,
90,1968-04-13,4,13.2,,2.1,67.8,
90,1968-04-14,7.4,14.6,,1.5,55.5,
90,1968-04-15,6.2,12.3,,1.4,76,
90,1968-04-16,5.5,10.1,,2.1,81.8,
90,1968-04-17,4.4,11.3,,1.8,80.5,
90,1968-04-18,5,11.8,,1.2,79.8,
90,1968-04-19,6.2,16.3,,1.4,60.5,
90,1968-04-20,8.2,17,,1.3,49.8,
90,1968-04-21,10.5,18.5,,2.1,42,
90,1968-04-22,9.7,17.3,,2.3,53,
90,1968-04-23,8.2,14.8,,1.8,75.8,
90,1968-04-24,7.9,13.2,,1.6,77.3,
90,1968-04-25,9.1,20.7,0,2.6,65.8,
90,1968-04-26,10.2,17.6,,2.6,41,
90,1968-04-27,8.5,15.8,,1.5,50.3,
90,1968-04-28,7,14.7,,2.2,79.3,
90,1968-04-29,7.6,15.4,,2,77.5,
90,1968-04-30,7.3,15.5,,1.7,81.3,
90,1968-05-01,10.8,18.9,,1.6,65.5,
90,1968-05-02,9.8,15.9,4.3,1.8,79.3,
90,1968-05-03,10.1,12.4,3.9,1.2,85,
90,1968-05-04,9.8,16,,1.8,80,
90,1968-05-05,9.7,17.7,,2.3,82.5,
90,1968-05-06,10.1,15.8,0,2.4,64.8,
90,1968-05-07,9.8,15.9,,2,66.8,
90,1968-05-08,9.3,18.8,,2.6,64.3,
90,1968-05-09,9.8,21.3,,1.8,56,
90,1968-05-10,14,23,,1.9,34.3,
90,1968-05-11,14.2,21.4,,1.6,59,
90,1968-05-12,12.6,16.3,,1.4,78.3,
90,1968-05-13,14.4,24.5,,8.3,26,
90,1968-05-14,12.5,21.5,,2.7,43,
90,1968-05-15,10.5,17.6,,1.7,78,
90,1968-05-16,12.1,19.5,,1.3,76.8,
90,1968-05-17,11.6,14,,1.6,83.8,
90,1968-05-18,12.7,15.6,31.8,1.2,84.8,
90,1968-05-19,12.4,16.8,,2.2,83.5,
90,1968-05-20,11.2,13.7,,1.9,80.3,
90,1968-05-21,12.5,16.5,,1.8,87.8,
90,1968-05-22,13.3,18.9,,1.5,83,
90,1968-05-23,12.2,16.4,,1.8,88,
90,1968-05-24,13.1,14.2,.4,1.1,95,
