지점,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사(MJ/m2)
105,1930-01-01,-3.7,5.7,,2.9,54.7,
105,1930-01-02,-2.4,4.9,1.1,2.6,67,
105,1930-01-03,-1.4,4.2,13.4,1.4,81.3,
105,1930-01-04,-9.4,-.7,,6.5,38,
105,1930-01-05,-11,-5.8,,7,37,
105,1930-01-06,-11.3,-4.4,,7.2,36.3,
105,1930-01-07,-9.8,-1.7,,6.2,31.7,
105,1930-01-08,-9.5,-3.6,,7.5,35,
105,1930-01-09,-9.9,.3,,5.3,36.7,
105,1930-01-10,-10,2.3,,4.1,52.3,
105,1930-01-11,-4.6,2.9,,2.7,49.3,
105,1930-01-12,-6.7,3,,3.6,40.3,
105,1930-01-13,-6.7,4.8,,3.3,33,
105,1930-01-14,-1.6,5.5,,4.1,49,
105,1930-01-15,-4.2,6,,3.6,44.7,
105,1930-01-16,-1.4,4.7,,3.1,51.7,
105,1930-01-17,-4.7,4.9,,3.4,47.3,
105,1930-01-18,-6.2,2.7,,3.2,44.3,
105,1930-01-19,-8.9,1.5,,2.9,41.3,
105,1930-01-20,,5.2,,3,36.3,
105,1930-01-21,,7.7,,3.6,38.3,
105,1930-01-22,-.6,6.4,,4.4,50.3,
105,1930-01-23,-.5,5.7,,6,45,
105,1930-01-24,-2.3,5,,5.1,44.3,
105,1930-01-25,-5.1,5.2,,3.9,51.3,
105,1930-01-26,-3.7,2,,2.9,69.3,
105,1930-01-27,-.9,2.7,8.5,1.1,84,
105,1930-01-28,-.1,5,0,1.7,68,
105,1930-01-29,-1.1,2,2.7,1.7,81.7,
105,1930-01-30,-1.6,6,,1.9,63.3,
105,1930-01-31,-3.3,6.4,,3.1,58.7,
105,1930-02-01,-2.3,5,,3.3,51,
105,1930-02-02,-4.5,3.6,1.6,3.5,71.3,
105,1930-02-03,-5.6,4.5,,1.8,73.3,
105,1930-02-04,-1,4,0,1.9,75,
105,1930-02-05,.4,4,6.2,1.2,81.3,
105,1930-02-06,-.1,8,1.6,2.3,60,
105,1930-02-07,-4.8,4.5,,3.4,56,
